neighbourhood,avg_price($),avg_latitute,avg_longitude
Oakridge,138.15909090909096,49.22687545454546,-123.12225856818178
Shaughnessy,167.67796610169515,49.248460989661005,-123.13534025762713
Fairview,175.65116279069812,49.26303494317828,-123.13052264341084
Arbutus Ridge,227.34042553191475,49.247705319148956,-123.16324936170217
Downtown Eastside,206.65686274509792,49.28049133647057,-123.0981049862745
Hastings-Sunrise,161.70370370370395,49.27820542703707,-123.0360401231482
Mount Pleasant,201.128318584071,49.26367886561943,-123.09776241725666
Renfrew-Collingwood,150.66839378238362,49.24554103108808,-123.03591956632127
Victoria-Fraserview,143.39215686274497,49.22156364705881,-123.06432274509802
Riley Park,189.71356783919583,49.24627527427139,-123.10146966482408
Sunset,180.3205128205131,49.22176184525642,-123.09350983846159
Grandview-Woodland,174.2376237623759,49.27447306282175,-123.06584356138613
Dunbar Southlands,222.3783783783784,49.24671654067568,-123.18525563108112
Strathcona,192.53571428571436,49.27204609571429,-123.0969867142857
Marpole,167.25,49.20638962734374,-123.12525778124997
Kensington-Cedar Cottage,151.35802469135825,49.24889598938271,-123.0755634312756
Downtown,243.4853801169608,49.27893118999029,-123.12001164161791
West End,191.4597701149414,49.28510402735631,-123.13156353764369
Killarney,160.4249999999998,49.22317185837501,-123.02638393250001
South Cambie,165.44230769230768,49.25083718250001,-123.1210986846154
Kitsilano,239.1411042944804,49.26681612932512,-123.16456231901842
West Point Grey,241.0634920634925,49.26296134920637,-123.20491593650794
Kerrisdale,166.68571428571428,49.22605685714285,-123.15325285714287
